campaign,difference,ci_low,ci_high,p_value,relative_lift,treatment_n,control_n,treatment_purchases,control_purchases,family_ci_low,family_ci_high,incremental_revenue,revenue_ci_low,revenue_ci_high,revenue_welch_p,incremental_visits,p_holm,significant
Men's merchandise,0.006805006519615695,0.005014344671481532,0.008640723396917826,1.167425327483139e-13,1.188421876286328,21307,21306,267,122,0.004757913673858643,0.008910880974977421,0.7698271558945368,0.49242825778104793,1.0647930506209635,1.1638149682254823e-07,0.07658956365153125,2.334850654966278e-13,True
Women's merchandise,0.003111057511085258,0.001501657131877008,0.004745471313672931,0.00016499877634158652,0.5433130436982172,21387,21306,189,122,0.0012692219927973388,0.004985507261654709,0.4244122159365967,0.16192691595820546,0.6794630253046675,0.0011293971023632501,0.045233106587052985,0.00016499877634158652,True
